"gene_id","gene_name","gene_type","Individuals","Tissue","Residual","n.isoforms"
"ENSG00000129355.5","CDKN2D","protein_coding",0.104152397,0.03048855,0.865359053,2
"ENSG00000129422.9","MTUS1","protein_coding",0.089216129,0.181646083,0.729137788,30
"ENSG00000129460.11","NGDN","protein_coding",0.101643807,0.108243384,0.790112809,13
"ENSG00000129465.11","RIPK3","protein_coding",0.098606899,0.084960299,0.816432802,7
"ENSG00000129467.9","ADCY4","protein_coding",0.1014766,0.108432828,0.790090571,20
"ENSG00000129472.7","RAB2B","protein_coding",0.101956227,0.109179196,0.788864577,6
"ENSG00000129473.5","BCL2L2","protein_coding",0.099416456,0.122311032,0.778272512,6
"ENSG00000129484.9","PARP2","protein_coding",0.152883229,0.108745403,0.738371368,11
"ENSG00000129493.10","HEATR5A","protein_coding",0.099432808,0.090009798,0.810557394,13
"ENSG00000129515.14","SNX6","protein_coding",0.106936592,0.202149258,0.69091415,12
"ENSG00000129518.4","EAPP","protein_coding",0.103923129,0.109529703,0.786547168,4
"ENSG00000129521.8","EGLN3","protein_coding",0.071019758,0.266339307,0.662640935,12
"ENSG00000129534.9","MIS18BP1","protein_coding",0.079658711,0.125296851,0.795044438,11
"ENSG00000129538.9","RNASE1","protein_coding",0.064789504,0.24629675,0.688913746,5
"ENSG00000129559.8","NEDD8","protein_coding",0.099823367,0.106204902,0.793971731,8
"ENSG00000129562.5","DAD1","protein_coding",0.114890385,0.098692043,0.786417573,6
"ENSG00000129566.7","TEP1","protein_coding",0.095128097,0.11257458,0.792297323,13
"ENSG00000129595.7","EPB41L4A","protein_coding",0.096373567,0.117980679,0.785645754,10
"ENSG00000129625.8","REEP5","protein_coding",0.085547886,0.333688247,0.580763867,8
"ENSG00000129636.8","ITFG1","protein_coding",0.102259362,0.191466267,0.70627437,12
"ENSG00000129646.8","QRICH2","protein_coding",0.080653653,0.126889087,0.79245726,5
"ENSG00000129657.8","SEC14L1","protein_coding",0.112872618,0.117005337,0.770122045,6
"ENSG00000129667.6","RHBDF2","protein_coding",0.1051809,0.100288977,0.794530123,3
"ENSG00000129675.10","ARHGEF6","protein_coding",0.095556583,0.11579977,0.788643647,5
"ENSG00000129680.11","MAP7D3","protein_coding",0.079619797,0.149268404,0.771111799,8
"ENSG00000129691.10","ASH2L","protein_coding",0.101245173,0.114492633,0.784262195,13
"ENSG00000129696.7","TTI2","protein_coding",0.09922766,0.05869862,0.84207372,7
"ENSG00000129757.8","CDKN1C","protein_coding",0.102552269,0.215596024,0.681851706,6
"ENSG00000129911.3","KLF16","protein_coding",0.097174152,0.062689071,0.840136778,2
"ENSG00000129925.5","TMEM8A","protein_coding",0.110153546,0.061278901,0.828567552,9
"ENSG00000129932.2","DOHH","protein_coding",0.115398352,0.076892305,0.807709342,2
"ENSG00000129933.11","MAU2","protein_coding",0.088423561,0.21342013,0.698156309,5
"ENSG00000129968.10","FAM108A1","protein_coding",0.159771837,0.086248693,0.75397947,2
"ENSG00000129993.10","CBFA2T3","protein_coding",0.097898818,0.116859844,0.785241338,14
"ENSG00000130005.6","GAMT","protein_coding",0.071409969,0.263924352,0.664665678,2
"ENSG00000130021.8","HDHD1","protein_coding",0.094248095,0.106249291,0.799502614,7
"ENSG00000130023.10","C6orf70","protein_coding",0.153608197,0.115872551,0.730519252,7
"ENSG00000130024.10","PHF10","protein_coding",0.06613168,0.203589883,0.730278437,4
"ENSG00000130038.5","EFCAB4B","protein_coding",0.098273018,0.135791955,0.765935027,7
"ENSG00000130052.9","STARD8","protein_coding",0.099382644,0.14092874,0.759688616,5
"ENSG00000130066.11","SAT1","protein_coding",0.077338603,0.231933552,0.690727845,10
"ENSG00000130119.11","GNL3L","protein_coding",0.084295683,0.076632319,0.839071997,3
"ENSG00000130150.6","MOSPD2","protein_coding",0.10434039,0.146148869,0.749510741,6
"ENSG00000130158.8","DOCK6","protein_coding",0.071246239,0.074049875,0.854703886,2
"ENSG00000130159.6","ECSIT","protein_coding",0.070226285,0.279128944,0.650644771,3
"ENSG00000130164.6","LDLR","protein_coding",0.090210882,0.095897144,0.813891973,15
"ENSG00000130175.4","PRKCSH","protein_coding",0.089378165,0.051983395,0.85863844,2
"ENSG00000130177.10","CDC16","protein_coding",0.10221523,0.082848177,0.814936593,11
"ENSG00000130193.7","C8orf55","protein_coding",0.104484629,0.12720715,0.768308221,3
"ENSG00000130202.4","PVRL2","protein_coding",0.115148838,0.407065623,0.477785539,2
"ENSG00000130203.4","APOE","protein_coding",0.063773179,0.255366534,0.680860288,5
"ENSG00000130204.7","TOMM40","protein_coding",0.073707986,0.074466092,0.851825922,3
"ENSG00000130222.6","GADD45G","protein_coding",0.107090922,0.094510813,0.798398265,3
"ENSG00000130227.11","XPO7","protein_coding",0.092922285,0.164735049,0.742342666,10
"ENSG00000130244.7","FAM98C","protein_coding",0.092291294,0.062542945,0.845165761,2
"ENSG00000130254.5","SAFB2","protein_coding",0.099063224,0.151793876,0.7491429,5
"ENSG00000130255.6","RPL36","protein_coding",0.152342767,0.185416555,0.662240678,2
"ENSG00000130270.8","ATP8B3","protein_coding",0.100562995,0.085475012,0.813961993,11
"ENSG00000130294.9","KIF1A","protein_coding",0.086407401,0.169437613,0.744154986,14
"ENSG00000130299.10","GTPBP3","protein_coding",0.10500351,0.101424206,0.793572284,4
"ENSG00000130303.7","BST2","protein_coding",0.106448142,0.046101643,0.847450215,4
"ENSG00000130304.10","SLC27A1","protein_coding",0.064163906,0.462276849,0.473559245,3
"ENSG00000130305.12","NSUN5","protein_coding",0.108527799,0.095206984,0.796265217,7
"ENSG00000130309.4","GLT25D1","protein_coding",0.075390757,0.07067826,0.853930982,2
"ENSG00000130338.8","TULP4","protein_coding",0.057714598,0.401872638,0.540412764,2
"ENSG00000130340.9","SNX9","protein_coding",0.106641102,0.27989736,0.613461538,3
"ENSG00000130348.7","QRSL1","protein_coding",0.10336746,0.118975224,0.777657316,3
"ENSG00000130349.5","C6orf203","protein_coding",0.100384516,0.142198004,0.757417479,4
"ENSG00000130363.6","RSPH3","protein_coding",0.13991682,0.127135407,0.732947774,4
"ENSG00000130396.15","MLLT4","protein_coding",0.086716565,0.143618884,0.769664551,23
"ENSG00000130402.5","ACTN4","protein_coding",0.093265988,0.246842553,0.659891459,9
"ENSG00000130414.6","NDUFA10","protein_coding",0.103134083,0.104694393,0.792171524,14
"ENSG00000130429.7","ARPC1B","protein_coding",0.092532659,0.094757446,0.812709895,23
"ENSG00000130475.9","FCHO1","protein_coding",0.081078388,0.05615147,0.862770142,3
